For the Chinese people, this is very important especially in the traditional and cultural sense.	Per al poble Xinès, això és molt important, especialment en el tradicional i cultural sentit.
What was once "Patronato del Poblevell" and the local artist Jesús Pedrola placed the monument of "The permanent flame" in memory of the suffering of the people of Corbera d'Ebre during the Battle of the Ebro.	El que era en el seu moment "Patronat del Poble Vell" i l'artista local Jesús Pedrola van col·locar el monument de "La Flama permanent" en record del patiment del poble de Corbera d'Ebre durant la Batalla de l'Ebre.
The Asian Film Festival 2018 began in CaixaForum on the 31st of October with the screening of the film Suleiman Montain from Kyrgysztan by the director Elisaveta Stisova and was officially opened at Cinemes Girona on the 7th of November, with Shoplifters, long film, which has been translated into Spanish as Un asunto de familia and that won the Golden Palm at this year's Cannes Festival.	El Asian Film Festival 2018 va arrencar a CaixaForum el 31 d'octubre amb la projecció de la pel·lícula Suleiman Mountain de la directora Elisaveta Stisova de Kirguizistan i es va inaugurar oficialment als Cinemes Girona, el 7 de novembre, amb Shoplifters, llargmetratge que a Espanya ha estat traduït per "Un afer de família" i que va guanyar la Palma d'Or del Festival de Cannes d'aquest any.
I didn’t know how to help nor how he felt!	No sabia com ajudar-lo, no entenia què li passava!
with its revolutionary ideas.	les seves idees revolucionàries.
Young Creators	Joves Creadors
In 1961, the university started the School of Law providing graduate law studies and student exchange programs with other law schools in the United States and in Spain.	El 1961, la universitat va començar l'Escola de Dret que proporciona estudis de llicenciatura en dret i programes d'intercanvi d'estudiants amb altres escoles de dret en els Estats Units i Espanya.
However, it is now known that this is due to an overexpression and accumulation of the lysosomal endogenous beta-galactosidase, and its expression is not required for senescence.	Tanmateix, ara se sap que això és a causa d'un sobreexpressió i acumulació de la beta-galactosidasa lisosòmica endògena, i que la seva expressió no és requerida per a la senectut.
Walsh says she’s a big fan of yoga, so he made sure to schedule a day where she could unwind and stretch out on the weekend.	Walsh diu que és una gran fan de ioga, per la qual cosa es va assegurar programar un dia en què pogués relaxar-se i estirar-se en el cap de setmana.
The security of all personally identifiable information associated with users on our web has a great importance for us.	La seguretat de tota la informació identificable personalment associada als usuaris d’aquest lloc és molt important per a nosaltres.
Description: Click on objects to add them together and solve each scenario. Some situations harder than others.	Descripció: Faci clic a objectes per afegir-los junts i resoldre cada escenari. Algunes situacions més difícils que altres.
Samba Samba migrated to France 10 years ago from Senegal, and has since been plugging away at various lowly jobs.	Fa deu anys que Samba va arribar a França des de Senegal, i des de llavors ha tingut diverses ocupacions humils.
Have we not had a further twenty years of Bismarck's rule, the Exceptional Law 3 and socialist-baiting taking the place of the prosecution of demagogues, 4 with the same arbitrary action of the police and with literally the same staggering interpretations of the law?	Que no hem tingut vint anys més de domini de Bismarck, que les persecucions demagògiques no han sigut substituïdes per la llei d'excepció i la caça de socialistes, amb la mateixa arbitrarietat policial i amb literalment les mateixes interpretacions dures de la llei?
Directed by Diederik Van Rooijen.	Direcció: Diederik Van Rooijen.
The Winner 2008	Guanyadors 2008
ARGOS system. The essential optronics system in the latest ships of the Spanish Navy.	Sistema ARGOS. El sistema optrònic indispensable en els vaixells més moderns de l’Armada Espanyola.
China Supplier Galantamine Hydrobromide Lycoremine P...	Proveïdor de la Xina Galantamina Bromhidilmida Lycor...
Part Two covers all of the games between Karpov and Kasparov himself through 1985, including their aborted match in 1984 and their 1985 match in which Kasparov became the thirteenth World Champion.	La Part Dos cobreix totes les partides entre Kàrpov i el mateix Kaspàrov al llarg de 1985, inclòs el seu interromput matx de 1984 i el matx de 1985 en el qual Kaspàrov va esdevenir el tretzè Campió del món.
7.1​ Activities or content likely to be considered offences under Spanish criminal law.	7.1 Activitats o continguts susceptibles de ser considerats delictius conforme la normativa penal espanyola.
It will mean that we made it!	Això voldrà dir que ho haurem aconseguit!
Some scholars believe that behind Heracles' complicated mythology there was probably a real man, perhaps a chieftain-vassal of the kingdom of Argos .	Alguns investigadors creuen[45] que darrere la complicada mitologia d'Hèracles probablement hi va haver un home real, potser un cacic-vassall del regne d'Argos.
Each one is different, each one special.	Cada un d'ells diferent, cada un d'ells especial.
An interior designer passionate about design, innovation, new trends and a job well done that lasts over time.	Una interiorista apassionada del disseny, l’innovació, les noves tendències i la feina ben feta que perdura en el temps.
In 1806, the hall was expanded by Charles Bulfinch, doubling its height and width.	En 1805 el Faneuil Hall va ser expandit per Charles Bulfinch, duplicant la seva altura i amplada i afegint-hi un tercer pis.
We are not prepared to believe that every private soldier in a Roman army had a name of his own — because we have not supposed that he had a character of his own.	No estem preparats per creure que cada soldat de l'exèrcit romà tenia un nom, perquè no hem suposat que cadascun tingués un caràcter propi.
The third, because the total amount of the trip is the sum of the expedition and the plane ticket.	El tercer, perquè l'import total del viatge és la suma de l'expedició polar i el bitllet d'avió.
The Taira split their fleet into three squadrons, while their enemy arrived en masse, their ships abreast, and archers ready.	La flota Taira es dividí en tres esquadrons, mentre que els seus enemics arribaren en massa amb els seus arquers preparats.
We are thus in an economic war without economic cause but with a great diversity of wealth. For Patrick Viveret, we are in an incredible process of avoidance: the economy which had to organize abundance to pass afterwards in Adam Smith's " philosophic republic", remained blocked and mainly manages ill-being." The desire to be " has been replaced by " the desire to have " or even "the fear of not having ".	Ens trobem doncs en una situació de guerra econòmica sense causa econòmica però amb una derivació de la riquesa extraordinària. Segons Patrick Viveret, estem en un procés d'evitació increïble: l'economia que havia d'organitzar l'abundància per passar més endavant a la "república filosòfica" d'Adam Smith, ha quedat encallada i s'ocupa sobretot de gestionar el malestar. "Les ganes de ser" han estat substituïdes per "les ganes de tenir" o fins i tot "la por de no tenir".
We thus closely approach the solution of the enigma of how and why the leadership of the “Communist” Party of Spain, insignificant in numbers and level, proved capable of gathering into its hands all levers of power, in face of the incomparably more powerful organisations of the Socialists and the Anarchists.	Això ens porta directament a la solució de l'enigma de com i per què el Partit Comunista d'Espanya, tan insignificant numèricament i amb una direcció de calibre tan pobre, resultà capaç d'aplegar a les seues mans tots els resorts del poder, davant les organitzacions incomparablement més poderoses de socialistes i anarquistes.
"Catechesis will always draw its content from the living source of the word of God transmitted in Tradition and the Scriptures, for sacred Tradition and sacred Scripture make up a single sacred deposit of the word of God, which is entrusted to the Church".	«La catequesi extraurà sempre el seu contingut de la font viva de la Paraula de Déu, transmesa mitjançant la Tradició i l’Escriptura, ja que la Sagrada Tradició i la Sagrada Escriptura són l’únic dipòsit sagrat de la Paraula de Déu confiada a l’Església».1
